timestamp,session_id,turn_id,turn_number,user_text,has_image,last_pid_context,effective_query,query_type,keyword_hits,sideflex_kw,straight_kw,query_series,image_search,vit_top_score,vit_series,vit_dominant,vit_hits_count,siglip_hits_count,graph_triggered_by,graph_candidates_added,graph_contributed,graph_seed_products,graph_compatible,graph_same_series,text_skipped,text_skip_reason,text_hits_count,total_candidates,top1_pid,top1_final_score,top1_ce_score,top1_series,reranked_pids,clarification,tool_calls,tool_names,ai_reply_length,ai_reply_preview,latency_ms,eval_top1_series_ok,eval_sideflex_ok,eval_straight_ok,eval_ref_in_reply,eval_graph_contrib,eval_clarif_ok,eval_vit_series_ok,error
2026-03-01T11:47:28.276,sess_114728_eb1be6,sess_114728_eb1be6_t001,1,,True,,ลูกค้าส่งรูปภาพมา,image,0,False,False,,True,0.9626,820,True,0,0,none,0,False,,,,False,,0,8,movex_chain_LF820_K325,0.0208,0.0,820 Series,movex_chain_LF820_K325|movex_chain_LF820_K750|movex_chain_LF820_K600|movex_chain_LF820_K450|movex_sprocket_54301,False,0,,814,จากรูปภาพที่แนบมา สินค้าที่ใกล้เคียงที่สุดในฐานข้อมูลของเราคือ **Movex Straight Running Chain รหัส L,5035.7,False,False,False,True,False,False,False,
2026-03-01T12:15:40.854,sess_121540_e60167,sess_121540_e60167_t001,1,,True,,ลูกค้าส่งรูปภาพมา,image,0,False,False,,True,0.9765,820,True,0,0,none,0,False,,,,False,,0,11,movex_chain_LF820_K750,0.0204,0.0,820 Series,movex_chain_LF820_K750|movex_chain_LF821_K750|movex_chain_LF820_K325|movex_chain_LF820_K600|movex_chain_LF820_K450,True,0,,623,สวัสดีครับ จากรูปภาพที่ลูกค้าส่งมา เป็นสายพานลำเลียงแบบตรง (Straight Running Chain) ในซีรีส์ 820 ของ,9568.7,False,False,False,True,False,False,False,
2026-03-01T12:19:19.812,sess_121919_f8efe0,sess_121919_f8efe0_t001,1,,True,,ลูกค้าส่งรูปภาพมา,image,0,False,False,,True,0.9626,820,True,0,0,none,0,False,,,,False,,0,8,movex_chain_LF820_K325,0.0208,0.0,820 Series,movex_chain_LF820_K325|movex_chain_LF820_K750|movex_chain_LF820_K600|movex_chain_LF820_K450|movex_sprocket_54301,False,0,,1757,"จากภาพที่ส่งมา เป็นสายพานลำเลียงแบบตรง (Straight Running Chain) ในซีรีส์ 820 ครับ/ค่ะ

รุ่นที่ตรงกับ",9402.3,False,False,False,True,False,False,False,
2026-03-01T12:20:52.685,sess_122052_e922e8,sess_122052_e922e8_t001,1,,True,,ลูกค้าส่งรูปภาพมา,image,0,False,False,,True,0.9765,820,True,0,0,none,0,False,,,,False,,0,11,movex_chain_LF820_K750,0.0204,0.0,820 Series,movex_chain_LF820_K750|movex_chain_LF821_K750|movex_chain_LF820_K325|movex_chain_LF820_K600|movex_chain_LF820_K450,False,0,,533,สวัสดีครับ จากรูปภาพที่ลูกค้าส่งมา เป็นภาพสายพาน Movex แบบวิ่งตรง (Straight Running Chain) ครับ ซึ่ง,7038.6,False,False,False,False,False,False,False,
2026-03-01T12:42:40.334,sess_124240_6394c2,sess_124240_6394c2_t001,1,,True,,ลูกค้าส่งรูปภาพมา,image,0,False,False,,True,0.9626,820,True,0,0,none,0,False,,,,False,,0,8,movex_chain_LF820_K325,0.0208,0.0,820 Series,movex_chain_LF820_K325|movex_chain_LF820_K750|movex_chain_LF820_K600|movex_chain_LF820_K450|movex_sprocket_54301,True,0,,1711,"จากรูปภาพที่ส่งมา ทางเราขอแนะนำสายพานรุ่น **LF 820 K325** ครับ

นี่คือรายละเอียดสเปกของสายพานรุ่นนี้",9446.7,False,False,False,True,False,False,False,
2026-03-01T12:45:37.605,sess_124537_7f481d,sess_124537_7f481d_t001,1,,True,,ลูกค้าส่งรูปภาพมา,image,0,False,False,,True,0.9999,820,True,0,0,none,0,False,,,,False,,0,8,movex_chain_LF820_K325,0.021,0.0,820 Series,movex_chain_LF820_K325|movex_chain_LF820_K750|movex_chain_LF820_K600|movex_chain_LF820_K450|movex_sprocket_54301,False,0,,1734,"จากรูปภาพที่ท่านส่งมา ผมพบสายพานลำเลียงรุ่น Movex LF 820 K325 ในซีรีส์ 820 ครับ

สำหรับสเปกของสายพาน",12618.8,False,False,False,True,False,False,False,
2026-03-01T12:46:42.698,sess_124642_13c469,sess_124642_13c469_t001,1,,True,,ลูกค้าส่งรูปภาพมา,image,0,False,False,,True,0.9765,820,True,0,0,none,0,False,,,,False,,0,11,movex_chain_LF820_K750,0.0204,0.0,820 Series,movex_chain_LF820_K750|movex_chain_LF821_K750|movex_chain_LF820_K325|movex_chain_LF820_K600|movex_chain_LF820_K450,False,0,,1502,จากรูปภาพที่ส่งมา ทางเราขอแนะนำสายพานรุ่น **LF 820 K750** ครับ ซึ่งเป็นสายพานตรง (Straight Running C,9020.2,False,False,False,True,False,False,False,
2026-03-01T12:48:04.264,sess_124804_74532e,sess_124804_74532e_t001,1,,True,,ลูกค้าส่งรูปภาพมา,image,0,False,False,,True,0.8089,880,False,0,0,none,0,False,,,,False,,0,14,movex_sprocket_54301,0.745,5.4759,820 Series,movex_sprocket_54301|movex_chain_LF880_TAB_K450|movex_chain_LF880_TAB_K325|movex_chain_LF882_TAB_K750|movex_chain_LF820_K325,False,0,,830,จากรูปภาพที่ส่งมา เห็นว่าเป็นสายพานแบบเลี้ยวได้ (Sideflexing Chain) ที่ทำจากวัสดุ Low Friction Aceta,11373.3,False,False,False,False,False,False,False,
2026-03-01T12:59:24.521,sess_125924_c103a2,sess_125924_c103a2_t001,1,,True,,ลูกค้าส่งรูปภาพมา,image,0,False,False,,True,0.8089,880,False,0,0,none,0,False,,,,False,,0,14,movex_chain_LF880_TAB_K450,1.0,0.0,880 Series,movex_chain_LF880_TAB_K450|movex_chain_LF880_TAB_K325|movex_chain_LF820_K325|movex_chain_LF820_K600|movex_chain_LF820_K450,True,0,,587,สวัสดีครับ จากภาพที่ส่งมาดูเหมือนเป็นสายพานแบบ Sideflexing Chain ของ Movex นะครับ ซึ่งจะสามารถเลี้ยว,6213.1,False,False,False,True,False,False,False,
2026-03-01T13:23:00.368,sess_132300_9a2eb4,sess_132300_9a2eb4_t001,1,,True,,ลูกค้าส่งรูปภาพมา,image,0,False,False,,True,0.8089,880,False,0,0,none,0,False,,,,False,,0,14,movex_chain_LF880_TAB_K450,1.0,0.0,880 Series,movex_chain_LF880_TAB_K450|movex_chain_LF880_TAB_K325|movex_chain_LF820_K325|movex_chain_LF820_K600|movex_chain_LF820_K450,False,0,,880,จากรูปภาพที่ส่งมา ทางเราคาดว่าเป็นสายพานรุ่น **LF 880 TAB K450** ครับ ซึ่งเป็นสายพานแบบเลี้ยวโค้งได้,7856.7,False,False,False,True,False,False,False,
