id,category,subcategory,turn_type,turn_number,user_text,image,must_contain,must_contain_any,must_not_contain,must_ask_back,expected_value,expected_unit,expected_product,expected_process,expected_material,expected_radius,reply_max_length,metrics,description
IMG-001,image,series_detection,single,1,,movex_LF820_K325_photo_top.jpeg,820,,เลี้ยวได้ | Sideflexing,,,,,,,,,series_correct | product_type_correct,ส่งรูป LF820_K325 — ระบุ series 820 + Straight Running ได้
IMG-002,image,series_detection,single,1,,movex_LF880_K450_photo_top.jpeg,880,,Straight Running | วิ่งตรง,,,,,,,,,series_correct | product_type_correct,ส่งรูป LF880_TAB_K450 — ระบุ series 880 + Sideflexing ได้
IMG-003,image,rejection,single,1,,non_chain_object.jpg,,,LF | 820 | 880 | K325,,,,,,,,,rejection_correct,ส่งรูปที่ไม่ใช่สายพาน — ต้องปฏิเสธ
SPEC-001,spec,workload,single,1,LF820 K325 workload เท่าไหร่,,1625,,,,1625,N,LF820_K325,,,,,spec_value_correct | unit_correct,LF820_K325 workload = 1625 N
SPEC-002,spec,width,single,1,LF820 K325 กว้างเท่าไหร่,,82.5,,,,82.5,mm,LF820_K325,,,,,spec_value_correct | unit_correct,LF820_K325 width = 82.5 mm
SPEC-003,spec,workload,single,1,LF880 TAB K450 workload เท่าไหร่,,2200,,,,2200,N,LF880_TAB_K450,,,,,spec_value_correct | unit_correct,LF880_TAB_K450 workload = 2200 N
SPEC-004,spec,width,single,1,LF880 TAB K450 กว้างเท่าไหร่,,114.3,,,,114.3,mm,LF880_TAB_K450,,,,,spec_value_correct | unit_correct,LF880_TAB_K450 width = 114.3 mm
SPEC-005,spec,curve_straight,single,1,LF820 K325 เลี้ยวได้ไหม,,,ตรง | Straight | ไม่ได้ | ไม่สามารถ,457 | radius | เลี้ยวได้ครับ,,,,LF820_K325,,,,,curve_answer_correct,LF820_K325 Straight Running — ต้องตอบว่าเลี้ยวไม่ได้
SPEC-006,spec,curve_sideflex,single,1,LF880 TAB K450 เลี้ยวได้ไหม,,457,,เลี้ยวไม่ได้ | Straight Running,,,,LF880_TAB_K450,,,457,,curve_answer_correct | radius_value_correct,LF880_TAB_K450 Sideflexing — ตอบว่าเลี้ยวได้ + radius 457mm
SPEC-007,spec,workload,single,1,LF882 TAB K750 workload เท่าไหร่,,3830,,,,3830,N,LF882_TAB_K750,,,,,spec_value_correct | unit_correct,LF882_TAB_K750 workload = 3830 N
GRAPH-001,graph,compatible_chain,single,1,54901 ใช้กับสายพานตัวไหน,,880,,,,,,,,,,,compatible_chain_correct,54901 ใช้กับสายพานตัวไหน — ต้องตอบ LF880 series
GRAPH-002,graph,compatible_sprocket_concise,single,1,ใช้สเตอร์ตัวไหน,movex_LF880_K450_photo_top.jpeg,54901 | 55001,,,,,,,,,,400,compatible_sprocket_correct | all_items_listed | reply_concise,ส่งรูป 880 ถาม sprocket — ตอบสั้น แค่ชื่อรุ่น
GRAPH-003,graph,process_820_sprocket,single,1,54301 ผลิตยังไง,,,Injection | Molded | ฉีด | ขึ้นรูป,,,,,,Molded,,,,process_correct,820 series sprocket ผลิตยังไง — process=Molded (Injection Molded)
GRAPH-004,graph,process_103_sprocket,single,1,57801 ผลิตยังไง,,,Machined | Precision | กลึง | กัด,,,,,,Machined,,,,process_correct,103 series sprocket ผลิตยังไง — process=Machined
GRAPH-005,graph,material,single,1,LF820 K325 ทำจากวัสดุอะไร,,,Low Friction | Acetal | LF,,,,,,,LF,,,material_correct,LF820_K325 วัสดุ LF — ต้องอธิบาย Low Friction Acetal
CLARIF-001,clarification,broad_sideflex,single,1,มีสายพานที่เลี้ยวได้ไหม,,,,LF880 | LF882 | K325 | K450,True,,,,,,,,clarification_triggered,ถามกว้างๆ ว่ามีสายพานเลี้ยวได้ไหม — ต้องถามกลับ
CLARIF-002,clarification,off_topic,single,1,อากาศวันนี้เป็นยังไง,,,,LF | 820 | ฝน | แดด,,,,,,,,,off_topic_handled,ถามนอก scope — ต้องปฏิเสธสุภาพ
CLARIF-003,clarification,ambiguous_no_series,single,1,อยากเปลี่ยนสายพาน,,,,,True,,,,,,,,clarification_triggered,ถามอยากเปลี่ยนสายพาน ไม่บอก series — ต้องถามกลับ
CLARIF-004,clarification,ambiguous_ss,single,1,สายพาน SS มีอะไรบ้าง,,,,,True,,,,,,,,clarification_triggered,ถาม SS มีอะไรบ้าง — SS เป็น material ไม่ใช่ series ต้องถามกลับ
MT-001,multi_turn,image_workload_width,multi,1,,movex_LF820_K325_photo_top.jpeg,820,,,,,,,,,,,series_correct,ส่งรูป 820 → workload → width (carry-over test)
MT-001,multi_turn,image_workload_width,multi,2,workload เท่าไหร่,,1625,,,,,,,,,,,spec_value_correct,
MT-001,multi_turn,image_workload_width,multi,3,กว้างเท่าไหร่,,82.5,,,,,,,,,,,spec_value_correct,
MT-002,multi_turn,image_curve_straight,multi,1,,movex_LF820_K325_photo_top.jpeg,820,,,,,,,,,,,series_correct,ส่งรูป 820 Straight → เลี้ยวได้ไหม — ห้ามตอบว่าเลี้ยวได้ (bug ที่เจอใน v3)
MT-002,multi_turn,image_curve_straight,multi,2,เลี้ยวได้ไหม,,,ตรง | Straight | ไม่ได้ | ไม่สามารถ,เลี้ยวได้ครับ | 457,,,,,,,,,curve_answer_correct,
MT-003,multi_turn,image_sprocket_process_both,multi,1,ใช้สเตอร์ตัวไหน,movex_LF880_K450_photo_top.jpeg,54901 | 55001,,,,,,,,,,,compatible_sprocket_correct | all_items_listed,ส่งรูป 880 → ถาม sprocket → ถาม process ต้องตอบทั้ง 54901 และ 55001
MT-003,multi_turn,image_sprocket_process_both,multi,2,สเตอร์นั้นผลิตยังไง,,54901 | 55001,Injection | Molded | ฉีด,,,,,,,,,,all_sprockets_answered | process_correct,ต้องตอบ process ทั้ง 2 ตัว ไม่ใช่แค่ตัวเดียว
MT-004,multi_turn,text_drilldown,multi,1,LF820 K325 workload เท่าไหร่,,1625,,,,,,,,,,,spec_value_correct,พิมพ์รุ่นตรงๆ แล้ว drill-down
MT-004,multi_turn,text_drilldown,multi,2,กว้างเท่าไหร่,,82.5,,,,,,,,,,,spec_value_correct,
MT-004,multi_turn,text_drilldown,multi,3,เลี้ยวได้ไหม,,,ตรง | Straight | ไม่ได้,,,,,,,,,,curve_answer_correct,
MT-005,multi_turn,vit_carryover,multi,1,,movex_LF820_K325_photo_top.jpeg,820,,,,,,,,,,,series_correct,รูปเปล่า turn1 ตอบแค่ series → turn2 ถาม workload ต้องได้ค่าจริง (ViT carry-over)
MT-005,multi_turn,vit_carryover,multi,2,workload เท่าไหร่,,1625,,,,,,,,,,,spec_value_correct | vit_carryover_works,ต้องได้ workload ถูกต้อง แม้ turn1 ตอบแค่ series
MT-006,multi_turn,graph_carryover,multi,1,54901 ใช้กับสายพานตัวไหน,,880,,,,,,,,,,,compatible_chain_correct,ถาม sprocket จาก text → ถาม process ต่อ (graph carry-over)
MT-006,multi_turn,graph_carryover,multi,2,สเตอร์นั้นผลิตจากวัสดุอะไร,,,Polyamide | Nylon | PA,,,,,,,,,,material_correct | graph_carryover_works,วัสดุ sprocket 54901 = Polyamide
